refYear,partnerISO,partnerDesc,fobvalue,netWgt,qtyUnitAbbr,valuePerUnit
2024,IDN,Indonesia,54435426.892,18393380,kg,2.95951189460556
2024,IDN,Indonesia,108086202.388,14012019,kg,7.71382071263249
2024,BRA,Brazil,30220.564,140400,kg,0.215246182336182
2024,GHA,Ghana,69786.48,10128,kg,6.89045023696682
2024,GHA,Ghana,43854453.501,9275952,kg,4.72775770088073
2024,IDN,Indonesia,12707670.473,2061820,kg,6.16332680495873
2024,IDN,Indonesia,1927513.6,215011,kg,8.96472087474594
2024,IDN,Indonesia,92489633.226,13704770,kg,6.74871838243181
2024,IDN,Indonesia,130786838.31,16733099,kg,7.81605596847303
2024,IDN,Indonesia,1038484,239384,kg,4.33815125488755
2024,NGA,Nigeria,8108.112,858,kg,9.45001398601399
2024,IDN,Indonesia,33.677,15,kg,2.24513333333333
2024,NGA,Nigeria,102.264,5.887,kg,17.371156786139
2024,NGA,Nigeria,52.136,9.257,kg,5.63206222318246
2024,BRA,Brazil,11.358,1,kg,11.358
2024,IDN,Indonesia,332881.55,45000,kg,7.39736777777778
2024,IDN,Indonesia,4788735.209,1100577,kg,4.3511132878481
2024,GHA,Ghana,3261429,591186,kg,5.51675614781135
2024,IDN,Indonesia,47716425.68,6677980,kg,7.14533821305245
2024,IDN,Indonesia,30851551.85,4551660,kg,6.77808796131521
