Production (tonnes),Yield (tonnes/hectare),Avg_Price_Per_Unit,yearly_avg_temperature,yearly_min_temperature,yearly_max_temperature,yearly_min_rainfall,yearly_max_rainfall,yearly_avg_rainfall,yearly_total_rainfall,Country,Date
2235043.0,0.51870006,3.1778251666666666,26.199178082191786,23.1,30.8,0,85.9,4.598082191780822,1678.3,Cote d'Ivoire,2019
2200000.0,0.5105,5.66525,26.28415300546448,22.6,31.0,0,41.4,2.7822404371584697,1018.3,Cote d'Ivoire,2020
2228459.0,0.50460005,6.35425,26.37890410958904,23.1,30.5,0,60.4,3.2594520547945205,1189.7,Cote d'Ivoire,2021
2358991.0,0.50020003,3.81901875,25.64246575342466,22.2,30.5,0,74.2,4.266575342465753,1557.3,Cote d'Ivoire,2022
203000.0,0.2576,2.19600329824902,24.437260273972605,19.8,30.4,0,54.5,3.708767123287672,1353.7,Nigeria,1995
338000.0,0.3499,0.977935222672065,24.485245901639345,20.2,30.8,0,42.4,3.301912568306011,1208.5,Nigeria,2000
340000.0,0.35200003,4.04878048780488,24.463287671232877,19.7,29.6,0,77.5,3.324657534246575,1213.5,Nigeria,2001
362000.0,0.3515,1.011830641945775,24.525753424657537,19.4,29.9,0,26.4,3.225205479452055,1177.2,Nigeria,2002
385000.0,0.38420004,1.3,25.078356164383564,20.4,30.0,0,36.2,3.026849315068493,1104.8,Nigeria,2003
367020.0,0.272,4.78321212121212,24.36530054644809,18.7,29.8,0,90.6,3.802459016393443,1391.7,Nigeria,2008
363510.0,0.2684,3.0515233197709564,24.983835616438355,20.5,30.8,0,36.2,3.64958904109589,1332.1,Nigeria,2009
367000.0,0.296,0.826714801444043,24.83342465753425,20.1,30.3,0,47.3,3.503013698630137,1278.6,Nigeria,2013
329870.0,0.28820002,4.403343702147658,24.763287671232877,20.0,30.8,0,140.7,3.973972602739726,1450.5,Nigeria,2014
302066.0,0.2858,2.423125,24.86027397260274,18.4,30.7,0,35.3,2.8936986301369862,1056.2,Nigeria,2015
298029.0,0.28410003,0.224934666666667,24.994535519125684,20.7,30.9,0,42.8,3.665027322404372,1341.4,Nigeria,2016
250000.0,0.28020003,0.6059305166083915,24.685479452054796,20.4,30.1,0,42.9,2.670958904109589,974.9,Nigeria,2017
270000.0,0.2842,0.3997774688200045,24.225753424657533,19.9,29.4,0,62.9,3.205753424657534,1170.1,Nigeria,2018
250000.0,0.2823,0.0512022108843537,24.176712328767124,20.0,29.7,0,29.1,3.0786301369863014,1123.7,Nigeria,2019
280000.0,0.2789,0.0239364,23.884657534246575,18.8,28.5,0,49.0,2.0326027397260273,741.9,Nigeria,2021
284232.16,0.2719,2.65325957221095,23.933698630136984,19.7,27.3,0,28.2,2.3838356164383563,870.1,Nigeria,2023
