"Country","Code","Year","Production (tonnes)","Yield (tonnes/hectare)","prediction"
"Panama","PAN",1972,504,0.15750001,"Normal"
"Panama","PAN",1973,500,0.15630001,"Normal"
"Panama","PAN",1974,500,0.15630001,"Normal"
"Panama","PAN",1975,810,0.20250002,"Normal"
"Panama","PAN",1976,925,0.20560002,"Normal"
"Panama","PAN",1977,768,0.256,"Normal"
"Panama","PAN",1978,1192,0.24830002,"Normal"
"Panama","PAN",1979,1450,0.2788,"Normal"
"Panama","PAN",1980,1640,0.328,"Normal"
"Panama","PAN",1981,1751,0.3184,"Normal"
"Panama","PAN",1982,1515,0.32930002,"Normal"
"Panama","PAN",1983,1332,0.333,"Normal"
"Panama","PAN",1984,1987,0.33120003,"Normal"
"Panama","PAN",1985,1406,0.33,"Normal"
"Panama","PAN",1986,1696,0.32620004,"Normal"
"Panama","PAN",1987,1551,0.2983,"Normal"
"Panama","PAN",1988,171,0.28500003,"Normal"
"Panama","PAN",1989,649,0.2596,"Normal"
"Panama","PAN",1990,629,0.25160003,"Normal"
"Panama","PAN",1991,636,0.27650002,"Normal"
"Panama","PAN",1992,592,0.2574,"Normal"
"Panama","PAN",1993,551,0.1489,"Normal"
"Panama","PAN",1994,913,0.24680002,"Normal"
"Panama","PAN",1995,850,0.2429,"Normal"
"Panama","PAN",1996,791,0.24720001,"Normal"
"Panama","PAN",1997,736,0.2495,"Normal"
"Panama","PAN",1998,685,0.17130001,"Normal"
"Panama","PAN",1999,638,0.1595,"Normal"
"Panama","PAN",2000,593,0.1483,"Normal"
"Panama","PAN",2001,301,0.07530001,"Normal"
"Panama","PAN",2002,354,0.13110001,"Normal"
"Panama","PAN",2003,417,0.119100004,"Normal"
"Panama","PAN",2004,431,0.1197,"Normal"
"Panama","PAN",2005,466,0.1259,"Normal"
"Panama","PAN",2006,653,0.136,"Normal"
"Panama","PAN",2007,686,0.1358,"Normal"
"Panama","PAN",2008,707,0.136,"Normal"
"Panama","PAN",2009,561,0.13360001,"Normal"
"Panama","PAN",2010,611,0.12100001,"Normal"
"Panama","PAN",2011,711,0.122700006,"Normal"
"Panama","PAN",2012,749,0.1295,"Normal"
"Panama","PAN",2013,627,0.12900001,"Normal"
"Panama","PAN",2014,641,0.118700005,"Normal"
"Panama","PAN",2015,572,0.11800001,"Normal"
"Panama","PAN",2016,668,0.113000005,"Normal"
