typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","56","BEL","Belgium","X","Export","384","CIV","Côte d'Ivoire","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","540","false","8","kg","540","false","540","false","0","false","0","902.543","902.543","0","false","true",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","98","false","8","kg","98","false","98","false","0","false","0","526.316","526.316","0","false","true",
"C","A","20140101","2014","52","2014","90","SLB","Solomon Isds","X","Export","458","MYS","Malaysia","0","W00","World","H2","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","4304313","false","8","kg","4304313","false","4304313","false",,"false",,"11185497.853","11185497.853","0","false","true",
"C","A","20140101","2014","52","2014","120","CMR","Cameroon","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","25296087","false","-1","N/A",,"false","25296087","false",,"false",,"74994113","74994113","0","true","false",
"C","A","20140101","2014","52","2014","214","DOM","Dominican Rep.","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","830182.5","false","8","kg","830182.5","false","830182.5","false","0","false","0","2185730.38","2185730.38","0","false","true",
"C","A","20140101","2014","52","2014","266","GAB","Gabon","X","Export","120","CMR","Cameroon","0","W00","World","H3","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","8","kg","2","false","2","false","0","false",,"70.672","70.672","0","false","true",
"C","A","20140101","2014","52","2014","251","FRA","France","X","Export","288","GHA","Ghana","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","-1","N/A",,"false","1","false",,"false",,"3","3","0","true","false",
"C","A","20140101","2014","52","2014","218","ECU","Ecuador","X","Export","360","IDN","Indonesia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10057982","false","-1","N/A",,"false","10057982","false",,"false",,"29655749","29655749","0","true","false",
"C","A","20140101","2014","52","2014","218","ECU","Ecuador","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7025050","false","-1","N/A",,"false","7025050","false",,"false",,"20059616","20059616","0","true","false",
"C","A","20140101","2014","52","2014","288","GHA","Ghana","X","Export","76","BRA","Brazil","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","37334000","false","8","kg","37334000","false","37334000","false","0","false",,"85873166.669","85873166.669","0","false","true",
"C","A","20140101","2014","52","2014","288","GHA","Ghana","X","Export","360","IDN","Indonesia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8050000","false","8","kg","8050000","false","8050000","false","0","false",,"25738244.662","25738244.662","0","false","true",
"C","A","20140101","2014","52","2014","276","DEU","Germany","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","525979","false","8","kg","525979","false","525979","false",,"false",,"1863568.881","1863568.881","0","false","true",
"C","A","20140101","2014","52","2014","288","GHA","Ghana","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","112408600","false","8","kg","112408600","false","112408600","false","0","false",,"315193248.191","315193248.191","0","false","true",
"C","A","20140101","2014","52","2014","276","DEU","Germany","X","Export","566","NGA","Nigeria","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","20","false","8","kg","20","false","20","false",,"false",,"139.459","139.459","0","false","true",
"C","A","20140101","2014","52","2014","288","GHA","Ghana","X","Export","566","NGA","Nigeria","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","40100","false","8","kg","40100","false","40100","false","0","false",,"2655.683","2655.683","0","false","true",
"C","A","20140101","2014","52","2014","384","CIV","Côte d'Ivoire","X","Export","360","IDN","Indonesia","0","W00","World","H3","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","59582661","false","8","kg","59582661","false","59582661","false","0","false",,"170287630.619","170287630.619","0","false","true",
"C","A","20140101","2014","52","2014","392","JPN","Japan","X","Export","360","IDN","Indonesia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11000","false","-1","N/A",,"false","11000","false",,"false",,"73863","73863","0","true","false",
"C","A","20140101","2014","52","2014","458","MYS","Malaysia","X","Export","360","IDN","Indonesia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24353960","false","-1","N/A",,"false","24353960","false",,"false",,"68550639","68550639","0","true","false",
"C","A","20140101","2014","52","2014","360","IDN","Indonesia","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","38933042","false","-1","N/A",,"false","38933042","false",,"false",,"119161698","119161698","0","true","false",
